# unix_время	событие	стратегия	радиус_м	частота	альфа	папка	задание	попадание	мс_от_задания	подробности
# сессия 2026-09-15T07:56:35
1789479879.561	folder	globe	0.18	5	0.0					{ "folder": "", "items": 11 }
1789479879.561	toggle	globe	0.18	5	0.0					{ "open": true }
1789479883.916	param	lens	0.18	0	0.16					{ "strategy": "lens", "radius": 0.18, "freq": 0, "alpha": 0.16, "folder": "" }
1789479887.860	select_empty	lens	0.18	0	0.16					{ "key": "(2, 17)" }
1789479888.422	param	globe	0.18	5	0.0					{ "strategy": "globe", "radius": 0.18, "freq": 5, "alpha": 0.0, "folder": "" }
1789479890.449	select_empty	globe	0.18	5	0.0					{ "key": "215" }
1789479891.151	select_empty	globe	0.18	5	0.0					{ "key": "35" }
1789479892.927	toggle	globe	0.18	5	0.0					{ "open": false }
1789479892.927	самопроверка	globe	0.18	5	0.0			FAIL		{ "глобус m=5, 252 ячеек, вращение": { "gpu95": 2.57100009918213, "cpu95": 0.20499999821186, "proc95": 6.653, "over": 0 }, "линза α=0.16, 260 ячеек, вращение": { "gpu95": 1.86000001430511, "cpu95": 0.17200000584126, "proc95": 8.158, "over": 0 } }
1789479897.717	folder	globe	0.11	3	0.0					{ "folder": "", "items": 11 }
1789479897.717	toggle	globe	0.11	3	0.0					{ "open": true }
1789479908.283	back	globe	0.11	3	0.0					{ "action": "close" }
1789479909.262	folder	globe	0.11	3	0.0					{ "folder": "", "items": 11 }
1789479909.262	toggle	globe	0.11	3	0.0					{ "open": true }
1789479912.661	back	globe	0.11	3	0.0					{ "action": "close" }
1789479913.250	param	lens	0.11	0	0.22					{ "strategy": "lens", "radius": 0.11, "freq": 0, "alpha": 0.22, "folder": "" }
1789479914.939	folder	lens	0.11	0	0.22					{ "folder": "", "items": 11 }
1789479914.939	toggle	lens	0.11	0	0.22					{ "open": true }
1789479915.471	param	globe	0.11	3	0.0					{ "strategy": "globe", "radius": 0.11, "freq": 3, "alpha": 0.0, "folder": "" }
1789479916.205	param	lens	0.11	0	0.22					{ "strategy": "lens", "radius": 0.11, "freq": 0, "alpha": 0.22, "folder": "" }
1789479919.572	param	globe	0.11	3	0.0					{ "strategy": "globe", "radius": 0.11, "freq": 3, "alpha": 0.0, "folder": "" }
1789479929.272	select	globe	0.11	3	0.0	settings				{ "action": "enter", "slot": 4, "item": "settings", "title": "Настройки", "via": "ray" }
1789479929.272	folder	globe	0.11	3	0.0	settings				{ "folder": "settings", "items": 5 }
1789479931.783	select	globe	0.11	3	0.0	settings				{ "action": "stay", "slot": 3, "item": "set_language", "title": "Язык", "via": "ray" }
1789479932.250	select	globe	0.11	3	0.0	settings				{ "action": "stay", "slot": 3, "item": "set_language", "title": "Язык", "via": "ray" }
1789479933.205	select	globe	0.11	3	0.0	settings				{ "action": "stay", "slot": 2, "item": "set_sound", "title": "Звук", "via": "ray" }
1789479933.872	select	globe	0.11	3	0.0	settings				{ "action": "stay", "slot": 1, "item": "set_vignette", "title": "Виньетка", "via": "ray" }
1789479934.439	back	globe	0.11	3	0.0					{ "action": "back" }
1789479934.439	folder	globe	0.11	3	0.0					{ "folder": "", "items": 11 }
1789479940.561	select	globe	0.11	3	0.0	assets				{ "action": "enter", "slot": 1, "item": "assets", "title": "Ассеты", "via": "ray" }
1789479940.561	folder	globe	0.11	3	0.0	assets				{ "folder": "assets", "items": 8 }
1789479943.028	back	globe	0.11	3	0.0					{ "action": "back" }
1789479943.028	folder	globe	0.11	3	0.0					{ "folder": "", "items": 11 }
1789479947.883	back	globe	0.11	3	0.0					{ "action": "close" }
1789479950.083	folder	globe	0.11	3	0.0					{ "folder": "", "items": 11 }
1789479950.083	toggle	globe	0.11	3	0.0					{ "open": true }
1789479951.039	param	lens	0.11	0	0.22					{ "strategy": "lens", "radius": 0.11, "freq": 0, "alpha": 0.22, "folder": "" }
1789479951.849	param	globe	0.11	3	0.0					{ "strategy": "globe", "radius": 0.11, "freq": 3, "alpha": 0.0, "folder": "" }
1789479952.928	param	lens	0.11	0	0.22					{ "strategy": "lens", "radius": 0.11, "freq": 0, "alpha": 0.22, "folder": "" }
1789479957.072	select	lens	0.11	0	0.22	assets				{ "action": "enter", "slot": 1, "item": "assets", "title": "Ассеты", "via": "ray" }
1789479957.072	folder	lens	0.11	0	0.22	assets				{ "folder": "assets", "items": 8 }
1789479958.161	select	lens	0.11	0	0.22	asset_trees				{ "action": "enter", "slot": 0, "item": "asset_trees", "title": "Деревья", "via": "ray" }
1789479958.161	folder	lens	0.11	0	0.22	asset_trees				{ "folder": "asset_trees", "items": 5 }
1789479959.261	select	lens	0.11	0	0.22	asset_trees				{ "action": "close", "slot": 0, "item": "tree_oak", "title": "Дуб", "via": "ray" }
1789479961.250	folder	lens	0.11	0	0.22	asset_trees				{ "folder": "asset_trees", "items": 5 }
1789479961.250	toggle	lens	0.11	0	0.22	asset_trees				{ "open": true }
1789479962.349	param	globe	0.11	3	0.0	asset_trees				{ "strategy": "globe", "radius": 0.11, "freq": 3, "alpha": 0.0, "folder": "asset_trees" }
1789479964.305	back	globe	0.11	3	0.0	assets				{ "action": "back" }
1789479964.306	folder	globe	0.11	3	0.0	assets				{ "folder": "assets", "items": 8 }
1789479969.628	param	lens	0.11	0	0.22	assets				{ "strategy": "lens", "radius": 0.11, "freq": 0, "alpha": 0.22, "folder": "assets" }
1789479992.405	select_empty	lens	0.11	0	0.22	assets				{ "key": "(0, -1)" }
1789479994.072	select_empty	lens	0.11	0	0.22	assets				{ "key": "(0, -1)" }
1789479995.361	back	lens	0.11	0	0.22					{ "action": "back" }
1789479995.361	folder	lens	0.11	0	0.22					{ "folder": "", "items": 11 }
1789480000.283	back	lens	0.11	0	0.22					{ "action": "close" }
1789480002.506	folder	lens	0.11	0	0.22					{ "folder": "", "items": 11 }
1789480002.506	toggle	lens	0.11	0	0.22					{ "open": true }
1789480003.549	param	lens	0.14	0	0.22					{ "strategy": "lens", "radius": 0.14, "freq": 0, "alpha": 0.22, "folder": "" }
1789480004.028	param	lens	0.18	0	0.22					{ "strategy": "lens", "radius": 0.18, "freq": 0, "alpha": 0.22, "folder": "" }
1789480005.392	param	lens	0.14	0	0.22					{ "strategy": "lens", "radius": 0.14, "freq": 0, "alpha": 0.22, "folder": "" }
1789480008.950	param	lens	0.14	0	0.26					{ "strategy": "lens", "radius": 0.14, "freq": 0, "alpha": 0.26, "folder": "" }
1789480009.484	param	lens	0.14	0	0.26					{ "strategy": "lens", "radius": 0.14, "freq": 0, "alpha": 0.26, "folder": "" }
1789480010.083	param	lens	0.14	0	0.22					{ "strategy": "lens", "radius": 0.14, "freq": 0, "alpha": 0.22, "folder": "" }
1789480010.538	param	lens	0.14	0	0.19					{ "strategy": "lens", "radius": 0.14, "freq": 0, "alpha": 0.19, "folder": "" }
1789480010.894	param	lens	0.14	0	0.16					{ "strategy": "lens", "radius": 0.14, "freq": 0, "alpha": 0.16, "folder": "" }
1789480011.117	param	lens	0.14	0	0.16					{ "strategy": "lens", "radius": 0.14, "freq": 0, "alpha": 0.16, "folder": "" }
1789480011.560	param	lens	0.14	0	0.19					{ "strategy": "lens", "radius": 0.14, "freq": 0, "alpha": 0.19, "folder": "" }
1789480011.817	param	lens	0.14	0	0.22					{ "strategy": "lens", "radius": 0.14, "freq": 0, "alpha": 0.22, "folder": "" }
1789480012.038	param	lens	0.14	0	0.26					{ "strategy": "lens", "radius": 0.14, "freq": 0, "alpha": 0.26, "folder": "" }
1789480012.249	param	lens	0.14	0	0.26					{ "strategy": "lens", "radius": 0.14, "freq": 0, "alpha": 0.26, "folder": "" }
1789480012.594	param	lens	0.14	0	0.26					{ "strategy": "lens", "radius": 0.14, "freq": 0, "alpha": 0.26, "folder": "" }
1789480013.249	param	lens	0.11	0	0.26					{ "strategy": "lens", "radius": 0.11, "freq": 0, "alpha": 0.26, "folder": "" }
1789480014.183	param	lens	0.11	0	0.22					{ "strategy": "lens", "radius": 0.11, "freq": 0, "alpha": 0.22, "folder": "" }
1789480014.528	param	lens	0.11	0	0.26					{ "strategy": "lens", "radius": 0.11, "freq": 0, "alpha": 0.26, "folder": "" }
1789480014.761	param	lens	0.11	0	0.26					{ "strategy": "lens", "radius": 0.11, "freq": 0, "alpha": 0.26, "folder": "" }
1789480014.939	param	lens	0.11	0	0.26					{ "strategy": "lens", "radius": 0.11, "freq": 0, "alpha": 0.26, "folder": "" }
1789480015.283	param	lens	0.08	0	0.26					{ "strategy": "lens", "radius": 0.08, "freq": 0, "alpha": 0.26, "folder": "" }
1789480015.761	param	lens	0.11	0	0.26					{ "strategy": "lens", "radius": 0.11, "freq": 0, "alpha": 0.26, "folder": "" }
1789480016.006	param	lens	0.14	0	0.26					{ "strategy": "lens", "radius": 0.14, "freq": 0, "alpha": 0.26, "folder": "" }
1789480016.483	param	lens	0.18	0	0.26					{ "strategy": "lens", "radius": 0.18, "freq": 0, "alpha": 0.26, "folder": "" }
1789480017.294	param	lens	0.18	0	0.22					{ "strategy": "lens", "radius": 0.18, "freq": 0, "alpha": 0.22, "folder": "" }
1789480017.661	param	lens	0.18	0	0.26					{ "strategy": "lens", "radius": 0.18, "freq": 0, "alpha": 0.26, "folder": "" }
1789480018.294	param	lens	0.18	0	0.26					{ "strategy": "lens", "radius": 0.18, "freq": 0, "alpha": 0.26, "folder": "" }
1789480018.494	param	lens	0.18	0	0.26					{ "strategy": "lens", "radius": 0.18, "freq": 0, "alpha": 0.26, "folder": "" }
1789480032.450	toggle	lens	0.18	0	0.26					{ "open": false }
1789480032.751	folder	lens	0.18	0	0.26					{ "folder": "", "items": 11 }
1789480032.751	toggle	lens	0.18	0	0.26					{ "open": true }
1789480034.672	select	lens	0.18	0	0.26					{ "action": "close", "slot": 5, "item": "save", "title": "Сохранить", "via": "ray" }
1789480035.528	folder	lens	0.18	0	0.26					{ "folder": "", "items": 11 }
1789480035.528	toggle	lens	0.18	0	0.26					{ "open": true }
1789480036.228	back	lens	0.18	0	0.26					{ "action": "close" }
1789480036.784	folder	lens	0.18	0	0.26					{ "folder": "", "items": 11 }
1789480036.784	toggle	lens	0.18	0	0.26					{ "open": true }
1789480046.760	select	lens	0.18	0	0.26					{ "action": "close", "slot": 9, "item": "play", "title": "Запустить", "via": "ray" }
1789480047.905	folder	lens	0.18	0	0.26					{ "folder": "", "items": 11 }
1789480047.906	toggle	lens	0.18	0	0.26					{ "open": true }
1789480051.617	param	globe	0.18	3	0.0					{ "strategy": "globe", "radius": 0.18, "freq": 3, "alpha": 0.0, "folder": "" }
1789480052.305	param	lens	0.18	0	0.26					{ "strategy": "lens", "radius": 0.18, "freq": 0, "alpha": 0.26, "folder": "" }
1789480052.872	задание	lens	0.18	0	0.26		light_sun			
1789480055.536	active	lens	0.18	0	0.26		light_sun		2664	{ "key": "(33, -12)", "slot": 2 }
1789480057.558	active	lens	0.18	0	0.26		light_sun		4687	{ "key": "(34, -13)", "slot": 3 }
1789480057.913	active	lens	0.18	0	0.26		light_sun		5042	{ "key": "(34, -14)", "slot": 4 }
1789480058.528	select	lens	0.18	0	0.26	scene	light_sun	нет	5656	{ "action": "enter", "slot": 0, "item": "scene", "title": "Сцена", "via": "ray" }
1789480058.528	folder	lens	0.18	0	0.26	scene	light_sun		5657	{ "folder": "scene", "items": 8 }
1789480058.536	active	lens	0.18	0	0.26	scene	light_sun		5664	{ "key": "(34, -14)", "slot": 0 }
1789480061.747	active	lens	0.18	0	0.26	scene	light_sun		8875	{ "key": "(34, -15)", "slot": 5 }
1789480061.869	active	lens	0.18	0	0.26	scene	light_sun		8998	{ "key": "(33, -15)", "slot": -2 }
1789480062.347	active	lens	0.18	0	0.26	scene	light_sun		9475	{ "key": "(33, -16)", "slot": -2 }
1789480062.558	active	lens	0.18	0	0.26	scene	light_sun		9687	{ "key": "(33, -17)", "slot": -2 }
1789480062.647	active	lens	0.18	0	0.26	scene	light_sun		9775	{ "key": "(33, -16)", "slot": -2 }
1789480062.847	active	lens	0.18	0	0.26	scene	light_sun		9975	{ "key": "(33, -15)", "slot": -2 }
1789480062.969	active	lens	0.18	0	0.26	scene	light_sun		10097	{ "key": "(32, -14)", "slot": -2 }
1789480063.180	active	lens	0.18	0	0.26	scene	light_sun		10308	{ "key": "(31, -13)", "slot": -2 }
1789480063.358	active	lens	0.18	0	0.26	scene	light_sun		10486	{ "key": "(31, -12)", "slot": -2 }
1789480063.614	active	lens	0.18	0	0.26	scene	light_sun		10742	{ "key": "(31, -11)", "slot": -2 }
1789480063.769	active	lens	0.18	0	0.26	scene	light_sun		10898	{ "key": "(32, -11)", "slot": -2 }
1789480064.014	active	lens	0.18	0	0.26	scene	light_sun		11142	{ "key": "(33, -11)", "slot": -2 }
1789480064.247	active	lens	0.18	0	0.26	scene	light_sun		11375	{ "key": "(33, -12)", "slot": 7 }
1789480064.469	active	lens	0.18	0	0.26	scene	light_sun		11597	{ "key": "(34, -12)", "slot": -2 }
1789480064.547	active	lens	0.18	0	0.26	scene	light_sun		11675	{ "key": "(34, -13)", "slot": 2 }
1789480064.869	active	lens	0.18	0	0.26	scene	light_sun		11997	{ "key": "(34, -14)", "slot": 0 }
1789480067.383	back	lens	0.18	0	0.26		light_sun		14512	{ "action": "back" }
1789480067.384	folder	lens	0.18	0	0.26		light_sun		14512	{ "folder": "", "items": 11 }
1789480067.391	active	lens	0.18	0	0.26		light_sun		14520	{ "key": "(34, -14)", "slot": 4 }
1789480068.602	active	lens	0.18	0	0.26		light_sun		15731	{ "key": "(34, -13)", "slot": 3 }
1789480073.083	select	lens	0.18	0	0.26	assets	light_sun	нет	20212	{ "action": "enter", "slot": 1, "item": "assets", "title": "Ассеты", "via": "ray" }
1789480073.084	folder	lens	0.18	0	0.26	assets	light_sun		20212	{ "folder": "assets", "items": 8 }
1789480073.091	active	lens	0.18	0	0.26	assets	light_sun		20220	{ "key": "(34, -13)", "slot": 0 }
1789480076.494	select	lens	0.18	0	0.26	assets	light_sun	нет	23622	{ "action": "close", "slot": 6, "item": "asset_lantern", "title": "Свет", "via": "ray" }
1789480078.228	задание	lens	0.18	0	0.26	assets	light_lamp			
1789480078.684	folder	lens	0.18	0	0.26	assets	light_lamp		456	{ "folder": "assets", "items": 8 }
1789480078.684	toggle	lens	0.18	0	0.26	assets	light_lamp		456	{ "open": true }
1789480078.695	active	lens	0.18	0	0.26	assets	light_lamp		467	{ "key": "(34, -14)", "slot": 0 }
1789480081.694	back	lens	0.18	0	0.26		light_lamp		3466	{ "action": "back" }
1789480081.694	folder	lens	0.18	0	0.26		light_lamp		3467	{ "folder": "", "items": 11 }
1789480081.702	active	lens	0.18	0	0.26		light_lamp		3475	{ "key": "(34, -13)", "slot": 3 }
1789480083.902	active	lens	0.18	0	0.26		light_lamp		5675	{ "key": "(33, -13)", "slot": 0 }
1789480084.769	active	lens	0.18	0	0.26		light_lamp		6542	{ "key": "(32, -13)", "slot": -1 }
1789480084.891	active	lens	0.18	0	0.26		light_lamp		6664	{ "key": "(31, -12)", "slot": -2 }
1789480086.347	active	lens	0.18	0	0.26		light_lamp		8119	{ "key": "(32, -12)", "slot": 1 }
1789480086.769	active	lens	0.18	0	0.26		light_lamp		8542	{ "key": "(32, -11)", "slot": 7 }
1789480086.869	active	lens	0.18	0	0.26		light_lamp		8641	{ "key": "(33, -12)", "slot": 2 }
1789480088.069	active	lens	0.18	0	0.26		light_lamp		9841	{ "key": "(34, -13)", "slot": 3 }
1789480089.428	select	lens	0.18	0	0.26	tools	light_lamp	нет	11200	{ "action": "enter", "slot": 3, "item": "tools", "title": "Инструменты", "via": "ray" }
1789480089.428	folder	lens	0.18	0	0.26	tools	light_lamp		11201	{ "folder": "tools", "items": 6 }
1789480089.435	active	lens	0.18	0	0.26	tools	light_lamp		11208	{ "key": "(34, -13)", "slot": 0 }
1789480091.460	back	lens	0.18	0	0.26		light_lamp		13233	{ "action": "back" }
1789480091.461	folder	lens	0.18	0	0.26		light_lamp		13233	{ "folder": "", "items": 11 }
1789480091.469	active	lens	0.18	0	0.26		light_lamp		13241	{ "key": "(34, -13)", "slot": 3 }
1789480092.583	select	lens	0.18	0	0.26	settings	light_lamp	нет	14355	{ "action": "enter", "slot": 4, "item": "settings", "title": "Настройки", "via": "ray" }
1789480092.583	folder	lens	0.18	0	0.26	settings	light_lamp		14356	{ "folder": "settings", "items": 5 }
1789480092.591	active	lens	0.18	0	0.26	settings	light_lamp		14364	{ "key": "(34, -13)", "slot": 0 }
1789480094.105	back	lens	0.18	0	0.26		light_lamp		15877	{ "action": "back" }
1789480094.105	folder	lens	0.18	0	0.26		light_lamp		15878	{ "folder": "", "items": 11 }
1789480094.114	active	lens	0.18	0	0.26		light_lamp		15886	{ "key": "(34, -13)", "slot": 3 }
1789480095.258	active	lens	0.18	0	0.26		light_lamp		17031	{ "key": "(33, -12)", "slot": 2 }
1789480099.227	param	lens	0.14	0	0.26		light_lamp		20999	{ "strategy": "lens", "radius": 0.14, "freq": 0, "alpha": 0.26, "folder": "" }
1789480102.694	param	lens	0.11	0	0.26		light_lamp		24467	{ "strategy": "lens", "radius": 0.11, "freq": 0, "alpha": 0.26, "folder": "" }
1789480105.170	active	lens	0.11	0	0.26		light_lamp		26942	{ "key": "(33, -13)", "slot": 0 }
1789480107.038	select	lens	0.11	0	0.26	scene	light_lamp	нет	28811	{ "action": "enter", "slot": 0, "item": "scene", "title": "Сцена", "via": "ray" }
1789480107.039	folder	lens	0.11	0	0.26	scene	light_lamp		28811	{ "folder": "scene", "items": 8 }
1789480107.047	active	lens	0.11	0	0.26	scene	light_lamp		28819	{ "key": "(34, -14)", "slot": 0 }
1789480109.284	select	lens	0.11	0	0.26	scene_open	light_lamp	нет	31056	{ "action": "enter", "slot": 1, "item": "scene_open", "title": "Открыть сцену", "via": "ray" }
1789480109.284	folder	lens	0.11	0	0.26	scene_open	light_lamp		31057	{ "folder": "scene_open", "items": 6 }
1789480109.292	active	lens	0.11	0	0.26	scene_open	light_lamp		31064	{ "key": "(34, -14)", "slot": 0 }
1789480112.350	back	lens	0.11	0	0.26	scene	light_lamp		34122	{ "action": "back" }
1789480112.350	folder	lens	0.11	0	0.26	scene	light_lamp		34123	{ "folder": "scene", "items": 8 }
1789480112.358	active	lens	0.11	0	0.26	scene	light_lamp		34131	{ "key": "(34, -14)", "slot": 0 }
1789480113.594	select	lens	0.11	0	0.26	scene_light	light_lamp	нет	35366	{ "action": "enter", "slot": 2, "item": "scene_light", "title": "Свет", "via": "ray" }
1789480113.594	folder	lens	0.11	0	0.26	scene_light	light_lamp		35367	{ "folder": "scene_light", "items": 5 }
1789480113.602	active	lens	0.11	0	0.26	scene_light	light_lamp		35375	{ "key": "(34, -14)", "slot": 0 }
1789480114.684	select	lens	0.11	0	0.26	scene_light	light_lamp	нет	36456	{ "action": "close", "slot": 0, "item": "light_sun", "title": "Солнце", "via": "ray" }
1789480116.916	folder	lens	0.11	0	0.26	scene_light	light_lamp		38688	{ "folder": "scene_light", "items": 5 }
1789480116.916	toggle	lens	0.11	0	0.26	scene_light	light_lamp		38689	{ "open": true }
1789480116.927	active	lens	0.11	0	0.26	scene_light	light_lamp		38699	{ "key": "(33, -13)", "slot": 1 }
1789480118.339	back	lens	0.11	0	0.26	scene	light_lamp		40111	{ "action": "back" }
1789480118.339	folder	lens	0.11	0	0.26	scene	light_lamp		40112	{ "folder": "scene", "items": 8 }
1789480118.347	active	lens	0.11	0	0.26	scene	light_lamp		40120	{ "key": "(34, -14)", "slot": 0 }
1789480121.425	active	lens	0.11	0	0.26	scene	light_lamp		43197	{ "key": "(33, -13)", "slot": 1 }
1789480121.750	back	lens	0.11	0	0.26		light_lamp		43522	{ "action": "back" }
1789480121.750	folder	lens	0.11	0	0.26		light_lamp		43523	{ "folder": "", "items": 11 }
1789480121.758	active	lens	0.11	0	0.26		light_lamp		43531	{ "key": "(33, -13)", "slot": 0 }
1789480125.061	select	lens	0.11	0	0.26	assets	light_lamp	нет	46833	{ "action": "enter", "slot": 1, "item": "assets", "title": "Ассеты", "via": "ray" }
1789480125.061	folder	lens	0.11	0	0.26	assets	light_lamp		46834	{ "folder": "assets", "items": 8 }
1789480125.069	active	lens	0.11	0	0.26	assets	light_lamp		46841	{ "key": "(34, -14)", "slot": 0 }
1789480128.049	select	lens	0.11	0	0.26	assets	light_lamp	нет	49822	{ "action": "close", "slot": 6, "item": "asset_lantern", "title": "Свет", "via": "ray" }
1789480129.360	folder	lens	0.11	0	0.26	assets	light_lamp		51133	{ "folder": "assets", "items": 8 }
1789480129.361	toggle	lens	0.11	0	0.26	assets	light_lamp		51133	{ "open": true }
1789480129.371	active	lens	0.11	0	0.26	assets	light_lamp		51144	{ "key": "(34, -14)", "slot": 0 }
1789480130.106	select	lens	0.11	0	0.26	assets	light_lamp	нет	51878	{ "action": "close", "slot": 6, "item": "asset_lantern", "title": "Свет", "via": "ray" }
1789480130.494	folder	lens	0.11	0	0.26	assets	light_lamp		52266	{ "folder": "assets", "items": 8 }
1789480130.494	toggle	lens	0.11	0	0.26	assets	light_lamp		52267	{ "open": true }
1789480130.504	active	lens	0.11	0	0.26	assets	light_lamp		52277	{ "key": "(34, -14)", "slot": 0 }
1789480131.427	select	lens	0.11	0	0.26	assets	light_lamp	нет	53200	{ "action": "stay", "slot": 7, "item": "asset_import", "title": "Импорт", "via": "ray" }
1789480133.694	back	lens	0.11	0	0.26		light_lamp		55466	{ "action": "back" }
1789480133.694	folder	lens	0.11	0	0.26		light_lamp		55467	{ "folder": "", "items": 11 }
1789480133.702	active	lens	0.11	0	0.26		light_lamp		55475	{ "key": "(33, -13)", "slot": 0 }
1789480139.239	select	lens	0.11	0	0.26	tools	light_lamp	нет	61011	{ "action": "enter", "slot": 3, "item": "tools", "title": "Инструменты", "via": "ray" }
1789480139.239	folder	lens	0.11	0	0.26	tools	light_lamp		61012	{ "folder": "tools", "items": 6 }
1789480139.247	active	lens	0.11	0	0.26	tools	light_lamp		61019	{ "key": "(34, -13)", "slot": 0 }
1789480141.038	back	lens	0.11	0	0.26		light_lamp		62811	{ "action": "back" }
1789480141.039	folder	lens	0.11	0	0.26		light_lamp		62811	{ "folder": "", "items": 11 }
1789480141.047	active	lens	0.11	0	0.26		light_lamp		62819	{ "key": "(33, -13)", "slot": 0 }
1789480145.438	select	lens	0.11	0	0.26	logic	light_lamp	нет	67211	{ "action": "enter", "slot": 2, "item": "logic", "title": "Логика", "via": "ray" }
1789480145.439	folder	lens	0.11	0	0.26	logic	light_lamp		67211	{ "folder": "logic", "items": 6 }
1789480145.447	active	lens	0.11	0	0.26	logic	light_lamp		67220	{ "key": "(33, -13)", "slot": 0 }
1789480149.739	select	lens	0.11	0	0.26	logic	light_lamp	нет	71511	{ "action": "close", "slot": 0, "item": "logic_trigger", "title": "Триггер", "via": "ray" }
1789480150.484	folder	lens	0.11	0	0.26	logic	light_lamp		72256	{ "folder": "logic", "items": 6 }
1789480150.484	toggle	lens	0.11	0	0.26	logic	light_lamp		72256	{ "open": true }
1789480150.494	active	lens	0.11	0	0.26	logic	light_lamp		72267	{ "key": "(33, -13)", "slot": 0 }
1789480151.561	back	lens	0.11	0	0.26		light_lamp		73333	{ "action": "back" }
1789480151.561	folder	lens	0.11	0	0.26		light_lamp		73334	{ "folder": "", "items": 11 }
1789480151.569	active	lens	0.11	0	0.26		light_lamp		73342	{ "key": "(33, -13)", "slot": 0 }
1789480153.291	active	lens	0.11	0	0.26		light_lamp		75063	{ "key": "(33, -12)", "slot": 2 }
1789480153.913	active	lens	0.11	0	0.26		light_lamp		75686	{ "key": "(33, -11)", "slot": 8 }
1789480154.995	select	lens	0.11	0	0.26		light_lamp	нет	76767	{ "action": "close", "slot": 9, "item": "play", "title": "Запустить", "via": "ray" }
1789480155.661	folder	lens	0.11	0	0.26		light_lamp		77434	{ "folder": "", "items": 11 }
1789480155.661	toggle	lens	0.11	0	0.26		light_lamp		77434	{ "open": true }
1789480155.672	active	lens	0.11	0	0.26		light_lamp		77444	{ "key": "(33, -11)", "slot": 0 }
1789480156.525	active	lens	0.11	0	0.26		light_lamp		78297	{ "key": "(32, -11)", "slot": -1 }
1789480156.725	active	lens	0.11	0	0.26		light_lamp		78497	{ "key": "(31, -11)", "slot": -2 }
1789480157.092	active	lens	0.11	0	0.26		light_lamp		78864	{ "key": "(32, -12)", "slot": -2 }
1789480157.191	active	lens	0.11	0	0.26		light_lamp		78964	{ "key": "(32, -11)", "slot": -1 }
1789480157.491	active	lens	0.11	0	0.26		light_lamp		79264	{ "key": "(32, -10)", "slot": 1 }
1789480159.280	active	lens	0.11	0	0.26		light_lamp		81053	{ "key": "(33, -11)", "slot": 0 }
1789480160.802	active	lens	0.11	0	0.26		light_lamp		82575	{ "key": "(32, -10)", "slot": 1 }
1789480162.559	active	lens	0.11	0	0.26		light_lamp		84331	{ "key": "(31, -9)", "slot": 6 }
1789480162.781	active	lens	0.11	0	0.26		light_lamp		84553	{ "key": "(31, -10)", "slot": -2 }
1789480163.025	active	lens	0.11	0	0.26		light_lamp		84798	{ "key": "(31, -11)", "slot": -2 }
1789480163.191	active	lens	0.11	0	0.26		light_lamp		84964	{ "key": "(31, -10)", "slot": -2 }
1789480163.358	active	lens	0.11	0	0.26		light_lamp		85130	{ "key": "(32, -10)", "slot": 1 }
1789480163.558	active	lens	0.11	0	0.26		light_lamp		85330	{ "key": "(32, -9)", "slot": 7 }
1789480163.769	active	lens	0.11	0	0.26		light_lamp		85542	{ "key": "(33, -10)", "slot": 2 }
1789480165.036	active	lens	0.11	0	0.26		light_lamp		86808	{ "key": "(34, -11)", "slot": 3 }
